456	2	475
131	1	434
599	2	475
489	2	475
624	2	475
560	2	475
152	1	346
435	2	475
402	2	639
204	1	486
203	1	486
625	2	475
301	1	570
89	1	404
24	1	357
535	2	475
406	2	406
149	1	447
349	2	633
597	2	475
91	1	346
475	2	475
73	1	391
419	2	475
314	1	581
331	1	610
346	2	475
572	2	475
464	2	475
452	2	452
552	2	552
269	1	542
372	2	372
93	1	407
63	1	383
581	2	475
316	1	582
346	2	475
317	1	583
53	1	376
431	2	431
417	2	475
577	2	475
608	2	475
286	1	557
552	2	552
401	2	638
293	1	563
101	1	415
259	1	534
550	2	475
456	2	475
157	1	451
369	2	475
29	1	362
198	1	484
557	2	475
514	2	514
68	1	386
187	1	476
304	1	573
403	2	475
252	1	527
353	2	475
346	2	475
451	2	451
602	2	475
404	2	640
19	1	354
225	1	502
47	1	373
223	1	501
398	2	475
346	2	475
416	2	475
285	1	556
415	2	475
346	2	475
179	1	470
362	2	475
482	2	475
320	1	592
49	1	374
290	1	560
236	1	511
588	2	475
465	2	475
291	1	561
337	1	625
400	2	475
66	1	384
320	1	590
340	1	631
218	1	496
471	2	475
375	2	375
508	2	475
158	1	452
233	1	508
411	2	475
234	1	509
129	1	433
190	1	478
230	1	506
161	1	454
631	2	475
346	2	475
155	1	450
70	1	388
197	1	484
45	1	372
350	2	475
306	1	575
12	1	349
173	1	465
13	1	350
134	1	435
542	2	475
222	1	500
60	1	380
532	2	532
346	2	475
346	2	475
180	1	471
328	1	603
196	1	483
288	1	558
544	2	544
617	2	475
507	2	475
438	2	644
333	1	615
135	1	436
103	1	416
268	1	541
140	1	439
318	1	584
354	2	475
410	2	475
442	2	475
439	2	439
79	1	394
257	1	532
162	1	455
342	2	544
408	2	475
627	2	475
148	1	446
308	1	577
446	2	475
246	1	521
504	2	475
224	1	502
555	2	475
389	2	475
539	2	475
431	2	431
356	2	634
559	2	475
255	1	530
365	2	366
132	1	434
469	2	475
449	2	475
416	2	475
43	1	371
521	2	648
515	2	515
351	2	475
137	1	437
320	1	587
307	1	576
228	1	504
488	2	646
320	1	588
619	2	475
341	2	475
262	1	537
217	1	495
7	1	346
375	2	375
360	2	475
71	1	389
409	2	475
478	2	475
459	2	475
626	2	475
160	1	453
392	2	475
609	2	475
333	1	618
118	1	346
216	1	494
150	1	448
367	2	367
569	2	475
346	2	475
127	1	431
52	1	376
266	1	539
322	1	594
549	2	651
34	1	365
376	2	475
580	2	475
472	2	475
64	1	344
524	2	475
338	1	626
11	1	348
346	2	475
258	1	533
3	1	344
463	2	475
310	1	346
260	1	535
504	2	475
346	2	475
16	1	353
581	2	475
364	2	475
630	2	475
192	1	480
481	2	481
295	1	565
490	2	475
611	2	475
282	1	553
311	1	346
428	2	475
156	1	451
358	2	475
55	1	377
334	1	622
46	1	346
147	1	445
496	2	475
220	1	498
488	2	646
145	1	444
313	1	580
184	1	474
50	1	375
346	2	475
319	1	585
8	1	346
346	2	475
451	2	451
612	2	475
75	1	346
164	1	456
32	1	364
382	2	475
81	1	396
329	1	604
470	2	475
54	1	377
272	1	545
251	1	526
27	1	360
212	1	492
238	1	513
530	2	475
427	2	475
620	2	475
475	2	475
329	1	606
385	2	475
500	2	475
479	2	475
563	2	475
412	2	475
61	1	381
396	2	475
111	1	424
371	2	371
561	2	475
284	1	555
541	2	475
243	1	518
598	2	475
618	2	475
214	1	493
263	1	538
422	2	475
613	2	475
623	2	475
369	2	475
74	1	392
183	1	474
512	2	475
105	1	418
106	1	419
332	1	614
434	2	643
121	1	427
366	2	366
570	2	475
247	1	522
573	2	475
546	2	475
435	2	475
334	1	621
505	2	475
48	1	373
522	2	649
237	1	512
279	1	551
525	2	475
520	2	475
62	1	382
517	2	475
171	1	463
601	2	475
334	1	620
487	2	475
99	1	413
94	1	408
629	2	475
486	2	475
130	1	433
41	1	369
72	1	390
213	1	492
595	2	475
1	1	342
440	2	475
480	2	475
240	1	515
547	2	475
235	1	510
421	2	475
199	1	485
596	2	475
333	1	617
432	2	475
144	1	443
367	2	367
377	2	475
335	1	623
361	2	475
448	2	475
108	1	421
57	1	346
579	2	475
455	2	475
22	1	355
332	1	611
289	1	559
193	1	480
110	1	423
309	1	578
394	2	475
327	1	600
341	2	475
476	2	475
123	1	429
494	2	475
168	1	460
558	2	558
474	2	474
511	2	475
528	2	475
344	2	344
339	1	629
493	2	475
151	1	449
591	2	475
95	1	409
462	2	475
527	2	475
434	2	643
352	2	475
120	1	426
407	2	475
280	1	552
590	2	475
363	2	635
502	2	475
87	1	402
326	1	598
376	2	475
208	1	489
67	1	385
273	1	546
444	2	444
176	1	468
344	2	344
177	1	468
42	1	370
368	2	368
346	2	475
513	2	475
383	2	636
320	1	589
276	1	549
264	1	346
33	1	364
433	2	433
616	2	475
114	1	346
281	1	552
104	1	417
380	2	475
77	1	393
526	2	475
194	1	481
35	1	366
112	1	425
538	2	538
51	1	375
113	1	346
271	1	544
333	1	619
363	2	635
468	2	475
519	2	475
59	1	379
589	2	475
36	1	367
86	1	401
38	1	368
96	1	410
65	1	345
320	1	586
429	2	429
592	2	475
357	2	357
494	2	475
2	1	343
497	2	647
248	1	523
467	2	475
615	2	475
143	1	442
205	1	487
425	2	475
90	1	405
56	1	346
373	2	373
297	1	566
378	2	475
201	1	341
537	2	475
141	1	440
424	2	641
178	1	469
468	2	475
88	1	403
185	1	475
84	1	399
270	1	543
484	2	475
305	1	574
232	1	507
253	1	528
492	2	475
346	2	475
215	1	494
503	2	475
536	2	475
128	1	432
21	1	346
287	1	557
426	2	475
423	2	475
346	2	475
346	2	475
370	2	371
126	1	431
600	2	475
167	1	459
475	2	475
44	1	372
330	1	608
109	1	422
466	2	475
321	1	593
163	1	456
566	2	475
325	1	597
346	2	475
136	1	436
332	1	612
211	1	491
607	2	475
340	1	630
485	2	485
507	2	475
604	2	475
386	2	475
458	2	475
98	1	412
227	1	504
492	2	475
40	1	369
510	2	475
450	2	450
622	2	475
207	1	488
331	1	609
420	2	475
250	1	525
373	2	373
332	1	611
483	2	475
606	2	475
117	1	346
355	2	475
473	2	475
30	1	363
518	2	475
138	1	437
346	2	475
568	2	475
186	1	475
181	1	472
502	2	475
294	1	564
549	2	651
551	2	475
585	2	475
364	2	475
346	2	475
115	1	346
436	2	475
575	2	652
557	2	475
477	2	477
346	2	475
292	1	562
200	1	485
298	1	567
501	2	475
5	1	346
491	2	475
299	1	568
346	2	475
82	1	397
261	1	536
339	1	628
345	2	345
529	2	475
277	1	549
584	2	475
441	2	475
346	2	475
23	1	356
267	1	540
58	1	378
491	2	475
564	2	475
480	2	475
628	2	475
182	1	473
346	2	475
454	2	475
533	2	533
391	2	475
283	1	554
210	1	491
249	1	524
574	2	475
15	1	352
303	1	572
554	2	475
26	1	359
379	2	475
509	2	475
174	1	466
384	2	475
209	1	490
567	2	475
221	1	499
562	2	475
37	1	367
399	2	475
241	1	516
107	1	420
327	1	601
315	1	581
329	1	607
328	1	602
387	2	475
153	1	346
327	1	599
97	1	411
336	1	624
76	1	393
172	1	464
300	1	569
450	2	450
170	1	462
485	2	485
6	1	346
347	2	632
245	1	520
254	1	529
457	2	475
125	1	430
278	1	550
576	2	653
296	1	566
102	1	416
474	2	474
175	1	467
333	1	616
14	1	351
169	1	461
329	1	605
437	2	475
377	2	475
582	2	475
219	1	497
229	1	505
430	2	642
312	1	579
372	2	372
374	2	374
9	1	347
586	2	475
302	1	571
556	2	475
452	2	452
393	2	475
621	2	475
139	1	438
587	2	475
498	2	475
332	1	613
543	2	475
394	2	475
78	1	394
610	2	475
486	2	475
453	2	475
31	1	363
390	2	475
444	2	444
28	1	361
343	2	374
348	2	475
142	1	441
92	1	406
133	1	435
116	1	346
443	2	475
447	2	475
188	1	477
320	1	591
231	1	507
346	2	475
439	2	439
603	2	475
85	1	400
418	2	475
0	1	341
80	1	395
534	2	534
206	1	488
274	1	547
20	1	346
146	1	444
119	1	346
583	2	583
368	2	368
265	1	346
397	2	637
239	1	514
565	2	475
553	2	475
159	1	452
436	2	475
346	2	475
242	1	517
414	2	475
39	1	368
545	2	545
275	1	548
323	1	595
100	1	414
226	1	503
345	2	345
122	1	428
548	2	650
154	1	450
495	2	475
433	2	433
324	1	596
611	2	475
516	2	475
339	1	627
124	1	346
189	1	475
25	1	358
4	1	345
166	1	458
393	2	475
593	2	475
614	2	475
540	2	475
395	2	475
413	2	475
195	1	482
