119	327	1
172	445	1
73	372	1
445	456	0
288	539	1
294	545	1
94	389	1
401	456	0
63	364	1
170	443	1
215	475	1
328	567	0
194	462	1
87	383	1
326	326	0
327	456	1
449	456	0
190	459	1
405	576	0
349	349	0
108	402	1
142	422	1
144	424	1
216	475	0
377	456	0
411	577	0
82	378	1
69	368	1
388	456	0
138	418	1
279	532	0
208	470	1
109	403	1
182	454	1
367	456	0
331	456	0
55	358	0
90	386	0
150	429	1
243	499	1
209	471	0
366	456	0
260	516	1
416	456	0
1	323	1
195	463	0
33	345	1
130	414	1
76	374	0
139	419	0
214	474	1
350	456	1
4	326	1
415	578	0
42	351	1
327	456	0
327	456	0
68	367	1
224	483	1
146	425	0
163	437	1
237	493	0
322	456	0
357	456	0
437	456	0
327	456	0
183	455	1
237	493	1
225	483	1
230	487	0
198	465	1
417	456	0
363	456	0
131	415	1
418	456	0
195	463	1
78	375	1
432	432	0
391	456	0
364	571	0
399	456	0
347	347	0
74	373	1
374	456	1
104	398	0
83	379	1
267	521	1
222	481	1
61	362	1
173	446	1
272	526	1
217	476	1
348	348	0
143	423	1
43	352	1
448	456	0
341	456	0
98	393	1
92	387	1
212	473	1
8	327	1
49	355	1
310	327	1
358	456	0
327	456	0
353	353	0
311	327	1
148	427	1
332	456	0
334	456	0
79	375	1
16	334	1
356	356	0
135	417	1
352	352	0
179	451	1
247	503	1
360	456	0
414	414	0
220	479	1
338	338	0
197	465	1
13	331	0
48	354	1
248	504	1
14	332	1
56	327	1
324	355	0
32	345	1
417	456	0
444	456	0
392	456	0
435	456	0
244	500	1
303	553	1
439	456	0
321	566	1
327	456	0
24	338	1
205	468	1
181	453	1
176	449	1
118	327	0
117	327	1
330	568	0
149	428	1
145	425	1
336	456	0
270	524	1
84	380	1
46	327	1
272	526	0
293	544	0
86	382	1
234	490	1
257	513	1
20	327	0
395	456	0
210	472	1
449	456	0
297	547	1
300	550	1
5	327	1
90	386	1
382	573	0
66	365	1
307	557	0
408	456	0
111	405	0
327	456	0
88	384	1
282	534	1
105	399	1
169	442	1
265	327	0
250	506	1
345	456	0
423	456	0
216	475	1
160	434	0
333	456	0
31	344	1
392	456	1
304	554	1
93	388	1
122	409	1
273	527	1
327	456	0
171	444	1
379	456	1
47	354	1
159	433	1
